Message Name,Field Def #,Field Name,Field Type,Array,,,,,,,,,,Products:,EXAMPLE
,1,sub_sport,sub_sport,,,,,,,,,,,,1
,2,start_date,date_time,,,,,,,,,,,,1
,3,end_date,date_time,,,,,,,,,,,,1
,4,type,goal,,,,,,,,,,,,1
,5,value,uint32,,,,,,,,,,,,1
,6,repeat,bool,,,,,,,,,,,,1
,7,target_value,uint32,,,,,,,,,,,,1
,8,recurrence,goal_recurrence,,,,,,,,,,,,1
,9,recurrence_value,uint16,,,,,,,,,,,,1
,10,enabled,bool,,,,,,,,,,,,1
,11,source,goal_source,,,,,,,,,,,,1

,,,ACTIVITY FILE MESSAGES,,,,,,,,,,,,
activity,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,,,,,,,,1
,0,total_timer_time,uint32,,,,,,,,,,,,1
,1,num_sessions,uint16,,,,,,,,,,,,1
,2,type,activity,,,,,,,,,,,,1
,3,event,event,,,,,,,,,,,,1
,4,event_type,event_type,,,,,,,,,,,,1
,5,local_timestamp,local_date_time,,,,,,,,,,,,1
,6,event_group,uint8,,,,,,,,,,,,1

session,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,253,timestamp,date_time,,,,,,,,,,,,1
,0,event,event,,,,,,,,,,,,1
,1,event_type,event_type,,,,,,,,,,,,1
,2,start_time,date_time,,,,,,,,,,,,1
,3,start_position_lat,sint32,,,,,,,,,,,,1
,4,start_position_long,sint32,,,,,,,,,,,,1
,5,sport,sport,,,,,,,,,,,,1
,6,sub_sport,sub_sport,,,,,,,,,,,,1
,7,total_elapsed_time,uint32,,,,,,,,,,,,1
,8,total_timer_time,uint32,,,,,,,,,,,,1
,9,total_distance,uint32,,,,,,,,,,,,1
,10,total_cycles,uint32,,,,,,,,,,,,1
,,total_strides,uint32,,,,,,,,,,,,1
,11,total_calories,uint16,,,,,,,,,,,,1
,13,total_fat_calories,uint16,,,,,,,,,,,,1
,14,avg_speed,uint16,,,,,,,,,,,,1
,15,max_speed,uint16,,,,,,,,,,,,1
,16,avg_heart_rate,uint8,,,,,,,,,,,,1
,17,max_heart_rate,uint8,,,,,,,,,,,,1
,18,avg_cadence,uint8,,,,,,,,,,,,1
,,avg_running_cadence,uint8,,,,,,,,,,,,1
,19,max_cadence,uint8,,,,,,,,,,,,1
,,max_running_cadence,uint8,,,,,,,,,,,,1
,20,avg_power,uint16,,,,,,,,,,,,1
,21,max_power,uint16,,,,,,,,,,,,1
,22,total_ascent,uint16,,,,,,,,,,,,1
,23,total_descent,uint16,,,,,,,,,,,,1
,24,total_training_effect,uint8,,,,,,,,,,,,1
,25,first_lap_index,uint16,,,,,,,,,,,,1
,26,num_laps,uint16,,,,,,,,,,,,1
,27,event_group,uint8,,,,,,,,,,,,1
,28,trigger,session_trigger,,,,,,,,,,,,1
,29,nec_lat,sint32,,,,,,,,,,,,1
,30,nec_long,sint32,,,,,,,,,,,,1
,31,swc_lat,sint32,,,,,,,,,,,,1
,32,swc_long,sint32,,,,,,,,,,,,1
,34,normalized_power,uint16,,,,,,,,,,,,1
,35,training_stress_score,uint16,,,,,,,,,,,,1
,36,intensity_factor,uint16,,,,,,,,,,,,1
,37,left_right_balance,left_right_balance_100,,,,,,,,,,,,1
,41,avg_stroke_count,uint32,,,,,,,,,,,,1
