Message Name,Field Def #,Field Name,Field Type,Array,,,,,,,,,,Products:,EXAMPLE
,17,speed_1s,uint8,[N],,,,,,,,,,,5
,18,cycles,uint8,,,,,,,,,,,,1
,19,total_cycles,uint32,,,,,,,,,,,,1
,28,compressed_accumulated_power,uint16,,,,,,,,,,,,1
,29,accumulated_power,uint32,,,,,,,,,,,,1
,30,left_right_balance,left_right_balance,,,,,,,,,,,,1
,31,gps_accuracy,uint8,,,,,,,,,,,,1
,32,vertical_speed,sint16,,,,,,,,,,,,1
,33,calories,uint16,,,,,,,,,,,,1
,39,vertical_oscillation,uint16,,,,,,,,,,,,1
,40,stance_time_percent,uint16,,,,,,,,,,,,1
,41,stance_time,uint16,,,,,,,,,,,,1
,42,activity_type,activity_type,,,,,,,,,,,,1
,43,left_torque_effectiveness,uint8,,,,,,,,,,,,1
,44,right_torque_effectiveness,uint8,,,,,,,,,,,,1
,45,left_pedal_smoothness,uint8,,,,,,,,,,,,1
,46,right_pedal_smoothness,uint8,,,,,,,,,,,,1
,47,combined_pedal_smoothness,uint8,,,,,,,,,,,,1
,48,time128,uint8,,,,,,,,,,,,1
,49,stroke_type,stroke_type,,,,,,,,,,,,1
,50,zone,uint8,,,,,,,,,,,,1
,51,ball_speed,uint16,,,,,,,,,,,,1
,52,cadence256,uint16,,,,,,,,,,,,1
,53,fractional_cadence,uint8,,,,,,,,,,,,1
,54,total_hemoglobin_conc,uint16,,,,,,,,,,,,1
,55,total_hemoglobin_conc_min,uint16,,,,,,,,,,,,1
,56,total_hemoglobin_conc_max,uint16,,,,,,,,,,,,1
,57,saturated_hemoglobin_percent,uint16,,,,,,,,,,,,1
,58,saturated_hemoglobin_percent_min,uint16,,,,,,,,,,,,1
,59,saturated_hemoglobin_percent_max,uint16,,,,,,,,,,,,1
,62,device_index,device_index,,,,,,,,,,,,1
,67,left_pco,sint8,,,,,,,,,,,,
,68,right_pco,sint8,,,,,,,,,,,,
,69,left_power_phase,uint8,[N],,,,,,,,,,,
,70,left_power_phase_peak,uint8,[N],,,,,,,,,,,
,71,right_power_phase,uint8,[N],,,,,,,,,,,
,72,right_power_phase_peak,uint8,[N],,,,,,,,,,,
,73,enhanced_speed,uint32,,,,,,,,,,,,1
,78,enhanced_altitude,uint32,,,,,,,,,,,,1
,81,battery_soc,uint8,,,,,,,,,,,,
,82,motor_power,uint16,,,,,,,,,,,,
,83,vertical_ratio,uint16,,,,,,,,,,,,
,84,stance_time_balance,uint16,,,,,,,,,,,,
,85,step_length,uint16,,,,,,,,,,,,

event,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,,,,,,,,1
,0,event,event,,,,,,,,,,,,1
,1,event_type,event_type,,,,,,,,,,,,1
,2,data16,uint16,,,,,,,,,,,,1
,3,data,uint32,,,,,,,,,,,,1
,,timer_trigger,timer_trigger,,,,,,,,,,,,1
,,course_point_index,message_index,,,,,,,,,,,,1
,,battery_level,uint16,,,,,,,,,,,,1
,,virtual_partner_speed,uint16,,,,,,,,,,,,1
,,hr_high_alert,uint8,,,,,,,,,,,,1
,,hr_low_alert,uint8,,,,,,,,,,,,1
,,speed_high_alert,uint32,,,,,,,,,,,,1
,,speed_low_alert,uint32,,,,,,,,,,,,1
,,cad_high_alert,uint16,,,,,,,,,,,,1
,,cad_low_alert,uint16,,,,,,,,,,,,1
,,power_high_alert,uint16,,,,,,,,,,,,1
,,power_low_alert,uint16,,,,,,,,,,,,1
,,time_duration_alert,uint32,,,,,,,,,,,,1
,,distance_duration_alert,uint32,,,,,,,,,,,,1
,,calorie_duration_alert,uint32,,,,,,,,,,,,1
,,fitness_equipment_state,fitness_equipment_state,,,,,,,,,,,,1
,,sport_point,uint32,,,,,,,,,,,,1
,,gear_change_data,uint32,,,,,,,,,,,,1
,,rider_position,rider_position_type,,,,,,,,,,,,
,,comm_timeout,comm_timeout_type,,,,,,,,,,,,
,4,event_group,uint8,,,,,,,,,,,,1
,7,score,uint16,,,,,,,,,,,,1
,8,opponent_score,uint16,,,,,,,,,,,,1
,9,front_gear_num,uint8z,,,,,,,,,,,,1
,10,front_gear,uint8z,,,,,,,,,,,,1
,11,rear_gear_num,uint8z,,,,,,,,,,,,1
,12,rear_gear,uint8z,,,,,,,,,,,,1
,13,device_index,device_index,,,,,,,,,,,,

device_info,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,,,,,,,,1
,0,device_index,device_index,,,,,,,,,,,,1
,1,device_type,uint8,,,,,,,,,,,,1
,,antplus_device_type,antplus_device_type,,,,,,,,,,,,1
,,ant_device_type,uint8,,,,,,,,,,,,1
,2,manufacturer,manufacturer,,,,,,,,,,,,1
,3,serial_number,uint32z,,,,,,,,,,,,1
,4,product,uint16,,,,,,,,,,,,1
,,garmin_product,garmin_product,,,,,,,,,,,,1
,5,software_version,uint16,,,,,,,,,,,,1
,6,hardware_version,uint8,,,,,,,,,,,,1
,7,cum_operating_time,uint32,,,,,,,,,,,,1
,10,battery_voltage,uint16,,,,,,,,,,,,1
,11,battery_status,battery_status,,,,,,,,,,,,1
,18,sensor_position,body_location,,,,,,,,,,,,1
,19,descriptor,string,,,,,,,,,,,,1
,20,ant_transmission_type,uint8z,,,,,,,,,,,,1
,21,ant_device_number,uint16z,,,,,,,,,,,,1
,22,ant_network,ant_network,,,,,,,,,,,,1
,25,source_type,source_type,,,,,,,,,,,,1
,27,product_name,string,,,,,,,,,,,,20

training_file,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,,,,,,,,1
,0,type,file,,,,,,,,,,,,1
,1,manufacturer,manufacturer,,,,,,,,,,,,1
,2,product,uint16,,,,,,,,,,,,1
,,garmin_product,garmin_product,,,,,,,,,,,,1
,3,serial_number,uint32z,,,,,,,,,,,,1
,4,time_created,date_time,,,,,,,,,,,,1

hrv,,,,,,,,,,,,,,,
,0,time,uint16,[N],,,,,,,,,,,1

weather_conditions,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,,,,,,,,1
,0,weather_report,weather_report,,,,,,,,,,,,1
,1,temperature,sint8,,,,,,,,,,,,1
,2,condition,weather_status,,,,,,,,,,,,1
,3,wind_direction,uint16,,,,,,,,,,,,1
,4,wind_speed,uint16,,,,,,,,,,,,1
,5,precipitation_probability,uint8,,,,,,,,,,,,1
,6,temperature_feels_like,sint8,,,,,,,,,,,,1
,7,relative_humidity,uint8,,,,,,,,,,,,1
,8,location,string,,,,,,,,,,,,64
,9,observed_at_time,date_time,,,,,,,,,,,,1
,10,observed_location_lat,sint32,,,,,,,,,,,,1
,11,observed_location_long,sint32,,,,,,,,,,,,1
,12,day_of_week,day_of_week,,,,,,,,,,,,1
,13,high_temperature,sint8,,,,,,,,,,,,1
,14,low_temperature,sint8,,,,,,,,,,,,1

weather_alert,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,,,,,,,,1
,0,report_id,string,,,,,,,,,,,,12
,1,issue_time,date_time,,,,,,,,,,,,1
,2,expire_time,date_time,,,,,,,,,,,,1
,3,severity,weather_severity,,,,,,,,,,,,1
,4,type,weather_severe_type,,,,,,,,,,,,1
gps_metadata,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,,,,,,,,
,0,timestamp_ms,uint16,,,,,,,,,,,,
,1,position_lat,sint32,
,2,position_long,sint32,
,3,enhanced_altitude,uint32,
,4,enhanced_speed,uint32,
,5,heading,uint16,
,6,utc_timestamp,date_time,
,7,velocity,sint16,[3]
camera_event,,,,
,253,timestamp,date_time,
,0,timestamp_ms,uint16,
,1,camera_event_type,camera_event_type,
,2,camera_file_uuid,string,
,3,camera_orientation,camera_orientation_type,

gyroscope_data,,,,
,253,timestamp,date_time,
,0,timestamp_ms,uint16,
,1,sample_time_offset,uint16,[N]
,2,gyro_x,uint16,[N]
,3,gyro_y,uint16,[N]
,4,gyro_z,uint16,[N]
,5,calibrated_gyro_x,float32,[N]
,6,calibrated_gyro_y,float32,[N]
,7,calibrated_gyro_z,float32,[N]

accelerometer_data,,,,
,253,timestamp,date_time,
,0,timestamp_ms,uint16,
,1,sample_time_offset,uint16,[N]
,2,accel_x,uint16,[N]
,3,accel_y,uint16,[N]
,4,accel_z,uint16,[N]
,5,calibrated_accel_x,float32,[N]
,6,calibrated_accel_y,float32,[N]
,7,calibrated_accel_z,float32,[N]

magnetometer_data,,,,
,253,timestamp,date_time,
,0,timestamp_ms,uint16,
,1,sample_time_offset,uint16,[N]
,2,mag_x,uint16,[N]
,3,mag_y,uint16,[N]
,4,mag_z,uint16,[N]
,5,calibrated_mag_x,float32,[N]
,6,calibrated_mag_y,float32,[N]
,7,calibrated_mag_z,float32,[N]

three_d_sensor_calibration,,,,
,253,timestamp,date_time,
,0,sensor_type,sensor_type,
,1,calibration_factor,uint32,
,,accel_cal_factor,uint32,
,,gyro_cal_factor,uint32,
,2,calibration_divisor,uint32,
,3,level_shift,uint32,
,4,offset_cal,sint32,[3]
,5,orientation_matrix,sint32,[9]

video_frame,,,,
,253,timestamp,date_time,
,0,timestamp_ms,uint16,
,1,frame_number,uint32,

obdii_data,,,,
,253,timestamp,date_time,,,,,,,,,,,,
,0,timestamp_ms,uint16,,,,,,,,,,,,
,1,time_offset,uint16,[N],,,,,,,,,,,
,2,pid,byte,,,,,,,,,,,,
,3,raw_data,byte,[N],,,,,,,,,,,
,4,pid_data_size,uint8,[N],,,,,,,,,,,
,5,system_time,uint32,[N],,,,,,,,,,,
,6,start_timestamp,date_time,,,,,,,,,,,,
,7,start_timestamp_ms,uint16,,,,,,,,,,,,

nmea_sentence,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,,,,,,,,1
,0,timestamp_ms,uint16,,,,,,,,,,,,1
,1,sentence,string,,,,,,,,,,,,83

aviation_attitude,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,,,,,,,,1
,0,timestamp_ms,uint16,,,,,,,,,,,,1
,1,system_time,uint32,[N],,,,,,,,,,,1
,2,pitch,sint16,[N],,,,,,,,,,,1
,3,roll,sint16,[N],,,,,,,,,,,1
,4,accel_lateral,sint16,[N],,,,,,,,,,,1
,5,accel_normal,sint16,[N],,,,,,,,,,,1
,6,turn_rate,sint16,[N],,,,,,,,,,,1
,7,stage,attitude_stage,[N],,,,,,,,,,,1
,8,attitude_stage_complete,uint8,[N],,,,,,,,,,,1
,9,track,uint16,[N],,,,,,,,,,,1
,10,validity,attitude_validity,[N],,,,,,,,,,,1

video,,,,,,,,,,,,,,,
,0,url,string,,,,,,,,,,,,
,1,hosting_provider,string,,,,,,,,,,,,
,2,duration,uint32,,,,,,,,,,,,

video_title,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,message_count,uint16,,,,,,,,,,,,1
,1,text,string,,,,,,,,,,,,80

video_description,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,message_count,uint16,,,,,,,,,,,,1
,1,text,string,,,,,,,,,,,,250

video_clip,,,,,,,,,,,,,,,
,0,clip_number,uint16,,,,,,,,,,,,
,1,start_timestamp,date_time,,,,,,,,,,,,
,2,start_timestamp_ms,uint16,,,,,,,,,,,,
,3,end_timestamp,date_time,,,,,,,,,,,,
,4,end_timestamp_ms,uint16,,,,,,,,,,,,
,6,clip_start,uint32,,,,,,,,,,,,
,7,clip_end,uint32,,,,,,,,,,,,


,,,COURSE FILE MESSAGES,,,,,,,,,,,,
course,,,,,,,,,,,,,,,
,4,sport,sport,,,,,,,,,,,,1
,5,name,string,,,,,,,,,,,,16
,6,capabilities,course_capabilities,,,,,,,,,,,,1
,7,sub_sport,sub_sport,,,,,,,,,,,,1

course_point,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,1,timestamp,date_time,,,,,,,,,,,,1
,2,position_lat,sint32,,,,,,,,,,,,1
,3,position_long,sint32,,,,,,,,,,,,1
,4,distance,uint32,,,,,,,,,,,,1
,5,type,course_point,,,,,,,,,,,,1
,6,name,string,,,,,,,,,,,,16
,8,favorite,bool,,,,,,,,,,,,1

,,,SEGMENT FILE MESSAGES,,,,,,,,,,,,
segment_id,,,,,,,,,,,,,,,
,0,name,string,,,,,,,,,,,,1
,1,uuid,string,,,,,,,,,,,,1
,2,sport,sport,,,,,,,,,,,,1
,3,enabled,bool,,,,,,,,,,,,1
,4,user_profile_primary_key,uint32,,,,,,,,,,,,1
,5,device_id,uint32,,,,,,,,,,,,1
,6,default_race_leader,uint8,,,,,,,,,,,,1
,7,delete_status,segment_delete_status,,,,,,,,,,,,1
,8,selection_type,segment_selection_type,,,,,,,,,,,,1

segment_leaderboard_entry,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,name,string,,,,,,,,,,,,1
,1,type,segment_leaderboard_type,,,,,,,,,,,,1
,2,group_primary_key,uint32,,,,,,,,,,,,1
,3,activity_id,uint32,,,,,,,,,,,,1
,4,segment_time,uint32,,,,,,,,,,,,1
,5,activity_id_string,string,,,,,,,,,,,,

segment_point,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,1,position_lat,sint32,,,,,,,,,,,,1
,2,position_long,sint32,,,,,,,,,,,,1
,3,distance,uint32,,,,,,,,,,,,1
,4,altitude,uint16,,,,,,,,,,,,1
,5,leader_time,uint32,[N],,,,,,,,,,,1

segment_lap,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,253,timestamp,date_time,,,,,,,,,,,,1
,0,event,event,,,,,,,,,,,,1
,1,event_type,event_type,,,,,,,,,,,,1
,2,start_time,date_time,,,,,,,,,,,,1
,3,start_position_lat,sint32,,,,,,,,,,,,1
,4,start_position_long,sint32,,,,,,,,,,,,1
,5,end_position_lat,sint32,,,,,,,,,,,,1
,6,end_position_long,sint32,,,,,,,,,,,,1
,7,total_elapsed_time,uint32,,,,,,,,,,,,1
,8,total_timer_time,uint32,,,,,,,,,,,,1
,9,total_distance,uint32,,,,,,,,,,,,1
,10,total_cycles,uint32,,,,,,,,,,,,1
,,total_strokes,uint32,,,,,,,,,,,,1
,11,total_calories,uint16,,,,,,,,,,,,1
,12,total_fat_calories,uint16,,,,,,,,,,,,1
,13,avg_speed,uint16,,,,,,,,,,,,1
,14,max_speed,uint16,,,,,,,,,,,,1
,15,avg_heart_rate,uint8,,,,,,,,,,,,1
,16,max_heart_rate,uint8,,,,,,,,,,,,1
,17,avg_cadence,uint8,,,,,,,,,,,,1
,18,max_cadence,uint8,,,,,,,,,,,,1
,19,avg_power,uint16,,,,,,,,,,,,1
,20,max_power,uint16,,,,,,,,,,,,1
,21,total_ascent,uint16,,,,,,,,,,,,1
,22,total_descent,uint16,,,,,,,,,,,,1
,23,sport,sport,,,,,,,,,,,,1
,24,event_group,uint8,,,,,,,,,,,,1
,25,nec_lat,sint32,,,,,,,,,,,,1
,26,nec_long,sint32,,,,,,,,,,,,1
,27,swc_lat,sint32,,,,,,,,,,,,1
,28,swc_long,sint32,,,,,,,,,,,,1
,29,name,string,,,,,,,,,,,,16
,30,normalized_power,uint16,,,,,,,,,,,,1
,31,left_right_balance,left_right_balance_100,,,,,,,,,,,,1
,32,sub_sport,sub_sport,,,,,,,,,,,,1
,33,total_work,uint32,,,,,,,,,,,,1
,34,avg_altitude,uint16,,,,,,,,,,,,1
,35,max_altitude,uint16,,,,,,,,,,,,1
,36,gps_accuracy,uint8,,,,,,,,,,,,1
,37,avg_grade,sint16,,,,,,,,,,,,1
,38,avg_pos_grade,sint16,,,,,,,,,,,,1
,39,avg_neg_grade,sint16,,,,,,,,,,,,1
,40,max_pos_grade,sint16,,,,,,,,,,,,1
,41,max_neg_grade,sint16,,,,,,,,,,,,1
,42,avg_temperature,sint8,,,,,,,,,,,,1
,43,max_temperature,sint8,,,,,,,,,,,,1
,44,total_moving_time,uint32,,,,,,,,,,,,1
,45,avg_pos_vertical_speed,sint16,,,,,,,,,,,,1
,46,avg_neg_vertical_speed,sint16,,,,,,,,,,,,1
,47,max_pos_vertical_speed,sint16,,,,,,,,,,,,1
,48,max_neg_vertical_speed,sint16,,,,,,,,,,,,1
,49,time_in_hr_zone,uint32,[N],,,,,,,,,,,1
,50,time_in_speed_zone,uint32,[N],,,,,,,,,,,1
,51,time_in_cadence_zone,uint32,[N],,,,,,,,,,,1
,52,time_in_power_zone,uint32,[N],,,,,,,,,,,1
,53,repetition_num,uint16,,,,,,,,,,,,1
,54,min_altitude,uint16,,,,,,,,,,,,1
,55,min_heart_rate,uint8,,,,,,,,,,,,1
,56,active_time,uint32,,,,,,,,,,,,1
,57,wkt_step_index,message_index,,,,,,,,,,,,1
,58,sport_event,sport_event,,,,,,,,,,,,1
,59,avg_left_torque_effectiveness,uint8,,,,,,,,,,,,1
,60,avg_right_torque_effectiveness,uint8,,,,,,,,,,,,1
,61,avg_left_pedal_smoothness,uint8,,,,,,,,,,,,1
,62,avg_right_pedal_smoothness,uint8,,,,,,,,,,,,1
,63,avg_combined_pedal_smoothness,uint8,,,,,,,,,,,,1
,64,status,segment_lap_status,,,,,,,,,,,,1
,65,uuid,string,,,,,,,,,,,,33
,66,avg_fractional_cadence,uint8,,,,,,,,,,,,1
,67,max_fractional_cadence,uint8,,,,,,,,,,,,1
,68,total_fractional_cycles,uint8,,,,,,,,,,,,1
,69,front_gear_shift_count,uint16,,,,,,,,,,,,1
,70,rear_gear_shift_count,uint16,,,,,,,,,,,,1
,71,time_standing,uint32,,,,,,,,,,,,
,72,stand_count,uint16,,,,,,,,,,,,
,73,avg_left_pco,sint8,,,,,,,,,,,,
,74,avg_right_pco,sint8,,,,,,,,,,,,
,75,avg_left_power_phase,uint8,[N],,,,,,,,,,,
,76,avg_left_power_phase_peak,uint8,[N],,,,,,,,,,,
,77,avg_right_power_phase,uint8,[N],,,,,,,,,,,
,78,avg_right_power_phase_peak,uint8,[N],,,,,,,,,,,
,79,avg_power_position,uint16,[N],,,,,,,,,,,
,80,max_power_position,uint16,[N],,,,,,,,,,,
,81,avg_cadence_position,uint8,[N],,,,,,,,,,,
,82,max_cadence_position,uint8,[N],,,,,,,,,,,
,83,manufacturer,manufacturer,,,,,,,,,,,,

,,,SEGMENT LIST FILE MESSAGES,,,,,,,,,,,,
segment_file,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,1,file_uuid,string,,,,,,,,,,,,1
,3,enabled,bool,,,,,,,,,,,,1
,4,user_profile_primary_key,uint32,,,,,,,,,,,,1
,7,leader_type,segment_leaderboard_type,[N],,,,,,,,,,,1
,8,leader_group_primary_key,uint32,[N],,,,,,,,,,,1
,9,leader_activity_id,uint32,[N],,,,,,,,,,,1
,10,leader_activity_id_string,string,[N],,,,,,,,,,,
,11,default_race_leader,uint8,,,,,,,,,,,,
,,,WORKOUT FILE MESSAGES,,,,,,,,,,,,
workout,,,,,,,,,,,,,,,
,4,sport,sport,,,,,,,,,,,,1
,5,capabilities,workout_capabilities,,,,,,,,,,,,1
,6,num_valid_steps,uint16,,,,,,,,,,,,1
,8,wkt_name,string,,,,,,,,,,,,16

workout_step,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,0,wkt_step_name,string,,,,,,,,,,,,16
,1,duration_type,wkt_step_duration,,,,,,,,,,,,1
,2,duration_value,uint32,,,,,,,,,,,,1
,,duration_time,uint32,,,,,,,,,,,,1
,,duration_distance,uint32,,,,,,,,,,,,1
,,duration_hr,workout_hr,,,,,,,,,,,,1
,,duration_calories,uint32,,,,,,,,,,,,1
,,duration_step,uint32,,,,,,,,,,,,1
,,duration_power,workout_power,,,,,,,,,,,,1
,3,target_type,wkt_step_target,,,,,,,,,,,,1
,4,target_value,uint32,,,,,,,,,,,,1
,,target_hr_zone,uint32,,,,,,,,,,,,1
,,target_power_zone,uint32,,,,,,,,,,,,1
,,repeat_steps,uint32,,,,,,,,,,,,1
,,repeat_time,uint32,,,,,,,,,,,,1
,,repeat_distance,uint32,,,,,,,,,,,,1
,,repeat_calories,uint32,,,,,,,,,,,,1
,,repeat_hr,workout_hr,,,,,,,,,,,,1
,,repeat_power,workout_power,,,,,,,,,,,,1
,5,custom_target_value_low,uint32,,,,,,,,,,,,1
,,custom_target_speed_low,uint32,,,,,,,,,,,,1
,,custom_target_heart_rate_low,workout_hr,,,,,,,,,,,,1
,,custom_target_cadence_low,uint32,,,,,,,,,,,,1
,,custom_target_power_low,workout_power,,,,,,,,,,,,1
,6,custom_target_value_high,uint32,,,,,,,,,,,,1
,,custom_target_speed_high,uint32,,,,,,,,,,,,1
,,custom_target_heart_rate_high,workout_hr,,,,,,,,,,,,1
,,custom_target_cadence_high,uint32,,,,,,,,,,,,1
,,custom_target_power_high,workout_power,,,,,,,,,,,,1
,7,intensity,intensity,,,,,,,,,,,,1

,,,SCHEDULE FILE MESSAGES,,,,,,,,,,,,
schedule,,,,,,,,,,,,,,,
,0,manufacturer,manufacturer,,,,,,,,,,,,1
,1,product,uint16,,,,,,,,,,,,1
,,garmin_product,garmin_product,,,,,,,,,,,,1
,2,serial_number,uint32z,,,,,,,,,,,,1
,3,time_created,date_time,,,,,,,,,,,,1
,4,completed,bool,,,,,,,,,,,,1
,5,type,schedule,,,,,,,,,,,,1
,6,scheduled_time,local_date_time,,,,,,,,,,,,1

,,,TOTALS FILE MESSAGES,,,,,,,,,,,,
totals,,,,,,,,,,,,,,,
,254,message_index,message_index,,,,,,,,,,,,1
,253,timestamp,date_time,,,,,,,,,,,,1
,0,timer_time,uint32,,,,,,,,,,,,1
,1,distance,uint32,,,,,,,,,,,,1
,2,calories,uint32,,,,,,,,,,,,1
,3,sport,sport,,,,,,,,,,,,1
,4,elapsed_time,uint32,,,,,,,,,,,,1
,5,sessions,uint16,,,,,,,,,,,,1
,6,active_time,uint32,,,,,,,,,,,,1
,9,sport_index,uint8,,,,,,,,,,,,

,,,WEIGHT SCALE FILE MESSAGES,,,,,,,,,,,,
weight_scale,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,,,,,,,,1
,0,weight,weight,,,,,,,,,,,,1
,1,percent_fat,uint16,,,,,,,,,,,,1
,2,percent_hydration,uint16,,,,,,,,,,,,1
,3,visceral_fat_mass,uint16,,,,,,,,,,,,1
,4,bone_mass,uint16,,,,,,,,,,,,1
,5,muscle_mass,uint16,,,,,,,,,,,,1
,7,basal_met,uint16,,,,,,,,,,,,1
,8,physique_rating,uint8,,,,,,,,,,,,1
,9,active_met,uint16,,,,,,,,,,,,1
,10,metabolic_age,uint8,,,,,,,,,,,,1
,11,visceral_fat_rating,uint8,,,,,,,,,,,,1
,12,user_profile_index,message_index,,,,,,,,,,,,1

,,,BLOOD PRESSURE FILE MESSAGES,,,,,,,,,,,,
blood_pressure,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,,,,,,,,1
,0,systolic_pressure,uint16,,,,,,,,,,,,1
,1,diastolic_pressure,uint16,,,,,,,,,,,,1
,2,mean_arterial_pressure,uint16,,,,,,,,,,,,1
,3,map_3_sample_mean,uint16,,,,,,,,,,,,1
,4,map_morning_values,uint16,,,,,,,,,,,,1
,5,map_evening_values,uint16,,,,,,,,,,,,1
,6,heart_rate,uint8,,,,,,,,,,,,1
,7,heart_rate_type,hr_type,,,,,,,,,,,,1
,8,status,bp_status,,,,,,,,,,,,1
,9,user_profile_index,message_index,,,,,,,,,,,,1

,,,MONITORING FILE MESSAGES,,,,,,,,,,,,
monitoring_info,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,,,,,,,,1
,0,local_timestamp,local_date_time,,,,,,,,,,,,1
,1,activity_type,activity_type,[N],,,,,,,,,,,
,3,cycles_to_distance,uint16,[N],,,,,,,,,,,
,4,cycles_to_calories,uint16,[N],,,,,,,,,,,
,5,resting_metabolic_rate,uint16,,,,,,,,,,,,

monitoring,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,,,,,,,,1
,0,device_index,device_index,,,,,,,,,,,,1
,1,calories,uint16,,,,,,,,,,,,1
,2,distance,uint32,,,,,,,,,,,,1
,3,cycles,uint32,,,,,,,,,,,,1
,,steps,uint32,,,,,,,,,,,,
,,strokes,uint32,,,,,,,,,,,,1
,4,active_time,uint32,,,,,,,,,,,,1
,5,activity_type,activity_type,,,,,,,,,,,,1
,6,activity_subtype,activity_subtype,,,,,,,,,,,,1
,7,activity_level,activity_level,,,,,,,,,,,,
,8,distance_16,uint16,,,,,,,,,,,,1
,9,cycles_16,uint16,,,,,,,,,,,,1
,10,active_time_16,uint16,,,,,,,,,,,,1
,11,local_timestamp,local_date_time,,,,,,,,,,,,1
,12,temperature,sint16,,,,,,,,,,,,
,14,temperature_min,sint16,
,15,temperature_max,sint16,
,16,activity_time,uint16,[8]
,19,active_calories,uint16,
,24,current_activity_type_intensity,byte,
,25,timestamp_min_8,uint8,
,26,timestamp_16,uint16,
,27,heart_rate,uint8,
,28,intensity,uint8,
,29,duration_min,uint16,
,30,duration,uint32,
,31,ascent,uint32,
,32,descent,uint32,
,33,moderate_activity_minutes,uint16,
,34,vigorous_activity_minutes,uint16,

hr,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,,,,,,,,1
,0,fractional_timestamp,uint16,,,,,,,,,,,,1
,1,time256,uint8,,,,,,,,,,,,1
,6,filtered_bpm,uint8,[N],,,,,,,,,,,1
,9,event_timestamp,uint32,[N],,,,,,,,,,,1
,10,event_timestamp_12,byte,[N],,,,,,,,,,,1
,,,OTHER MESSAGES,,,,,,,,,,,,
memo_glob,,,,,,,,,,,,,,,
,250,part_index,uint32,,,,,,,,,,,,
,0,memo,byte,[N],,,,,,,,,,,
,1,message_number,uint16,,,,,,,,,,,,
,2,message_index,message_index,,,,,,,,,,,,

ant_channel_id,,,,,,,,,,,,,,,
,0,channel_number,uint8,,,,,,,,,,,,
,1,device_type,uint8z,,,,,,,,,,,,
,2,device_number,uint16z,,,,,,,,,,,,
,3,transmission_type,uint8z,,,,,,,,,,,,
,4,device_index,device_index,,,,,,,,,,,,

ant_rx,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,,,,,,,,1
,0,fractional_timestamp,uint16,,,,,,,,,,,,1
,1,mesg_id,byte,,,,,,,,,,,,1
,2,mesg_data,byte,[N],,,,,,,,,,,9
,3,channel_number,uint8,,,,,,,,,,,,1
,4,data,byte,[N],,,,,,,,,,,8

ant_tx,,,,,,,,,,,,,,,
,253,timestamp,date_time,,,,,,,,,,,,1
,0,fractional_timestamp,uint16,,,,,,,,,,,,1
,1,mesg_id,byte,,,,,,,,,,,,1
,2,mesg_data,byte,[N],,,,,,,,,,,9
,3,channel_number,uint8,,,,,,,,,,,,1
,4,data,byte,[N],,,,,,,,,,,8
exd_screen_configuration,,,,,,,,,,,,,,,
,0,screen_index,uint8,,,,,,,,,,,,1
,1,field_count,uint8,,,,,,,,,,,,1
,2,layout,exd_layout,,,,,,,,,,,,1
,3,screen_enabled,bool,,,,,,,,,,,,1

exd_data_field_configuration,,,,,,,,,,,,,,,
,0,screen_index,uint8,,,,,,,,,,,,1
,1,concept_field,byte,,,,,,,,,,,,1
,2,field_id,uint8,,,,,,,,,,,,1
,3,concept_count,uint8,,,,,,,,,,,,1
,4,display_type,exd_display_type,,,,,,,,,,,,1
,5,title,string,[32],,,,,,,,,,,1

exd_data_concept_configuration,,,,,,,,,,,,,,,
,0,screen_index,uint8,,,,,,,,,,,,1
,1,concept_field,byte,,,,,,,,,,,,1
,2,field_id,uint8,,,,,,,,,,,,1
,3,concept_index,uint8,,,,,,,,,,,,1
,4,data_page,uint8,,,,,,,,,,,,1
,5,concept_key,uint8,,,,,,,,,,,,1
,6,scaling,uint8,,,,,,,,,,,,1
,8,data_units,exd_data_units,,,,,,,,,,,,1
